Fe15-H_002.xyz	1.77847	1.82846	6	2.49106	3	1.82648
Fe15-H_003.xyz	1.73244	1.7331	6	2.46744	2	1.73277
Fe15-H_004.xyz	1.77771	1.82977	6	2.49072	3	1.82675
Fe15-H_008.xyz	1.77724	1.82736	6	2.49144	3	1.82662
Fe15-H_011.xyz	1.77778	1.82857	6	2.49158	3	1.82665
Fe15-H_012.xyz	1.73228	1.73294	6	2.46755	2	1.73261
Fe15-H_016.xyz	1.73178	1.73344	6	2.46726	2	1.73261
Fe15-H_018.xyz	1.77846	1.82649	6	2.49208	3	1.82658
Fe15-H_020.xyz	1.77777	1.82799	6	2.49127	3	1.82674
Fe15-H_021.xyz	1.77687	1.82839	6	2.49178	3	1.82642
Fe15-H_024.xyz	1.73158	1.73332	6	2.4679	2	1.73245
Fe15-H_025.xyz	1.77859	1.82701	6	2.49072	3	1.82656
Fe15-H_027.xyz	1.77798	1.82523	6	2.49203	3	1.82623
Fe15-H_029.xyz	1.77829	1.82733	6	2.49122	3	1.82644
Fe15-H_030.xyz	1.72258	1.72886	6	2.45956	2	1.72572
