Co15-CH4_001.xyz	109.4833	1.9826	3.174	2.4228	120.2618	6	2.3828	53.952	4
Co15-CH4_002.xyz	109.4833	1.9793	3.1908	2.4293	121.4665	6	2.3826	53.4861	4
Co15-CH4_003.xyz	109.4801	2.0042	3.2381	2.4792	121.5469	6	2.3783	52.4377	4
Co15-CH4_004.xyz	109.4813	2.0301	3.2185	2.4441	122.719	5	2.3643	55.3846	4
Co15-CH4_005.xyz	109.4833	1.9761	3.1862	2.4267	121.2647	6	2.382	53.438	4
Co15-CH4_006.xyz	109.468	2.9212	4.6262	3.6191	178.7789	9	2.3831	43.434	4
Co15-CH4_007.xyz	109.4832	1.982	3.1854	2.429	120.8917	6	2.3824	53.6358	4
Co15-CH4_008.xyz	109.468	2.9248	4.6219	3.6092	179.4112	9	2.3834	44.2349	4
Co15-CH4_009.xyz	109.4805	2.0093	3.2335	2.4763	121.2588	6	2.3791	52.8394	4
Co15-CH4_010.xyz	109.4681	2.9401	4.6454	3.638	178.3156	9	2.3832	43.4656	4
Co15-CH4_011.xyz	109.4809	2.0597	3.2241	2.4537	122.0991	5	2.358	56.4637	4
Co15-CH4_012.xyz	109.4831	1.9771	3.1696	2.421	120.0341	6	2.3825	53.7561	4
Co15-CH4_013.xyz	109.4804	1.9512	3.1027	2.3199	123.2509	4	2.31	57.0151	4
Co15-CH4_014.xyz	109.4794	1.9691	3.107	2.332	122.5369	4	2.3104	57.3819	4
Co15-CH4_015.xyz	109.481	2.0203	3.1963	2.4123	123.5287	5	2.373	56.3548	4
Co15-CH4_016.xyz	109.468	2.9805	4.6686	3.6537	174.295	9	2.3832	44.9933	4
Co15-CH4_017.xyz	109.4679	2.9811	4.683	3.6725	178.5556	9	2.3833	43.9336	4
Co15-CH4_018.xyz	109.48	1.9699	3.198	2.3977	125.3304	4	2.3419	54.4382	4
Co15-CH4_019.xyz	109.4798	1.9687	3.1975	2.388	126.3317	4	2.342	54.8191	4
Co15-CH4_020.xyz	109.4802	2.0023	3.2391	2.4804	121.5589	6	2.3781	52.2817	4
