Cu15-CH3+H_001.xyz	109.3384	2.46803	2.58479	1.93369	3.62842	123.11714	105.50599	5	2.51953	3	1.73252	3
Cu15-CH3+H_003.xyz	106.90984	2.30777	2.97189	2.05607	3.61443	138.77593	88.46234	6	2.54009	3	1.72864	3
Cu15-CH3+H_005.xyz	108.93052	2.45902	2.62611	1.92186	3.59099	127.5645	105.68312	4	2.51761	3	1.76796	3
Cu15-CH3+H_008.xyz	106.27736	1.9971	2.95741	2.16182	3.57943	124.41949	66.39369	6	2.46919	2	1.63784	3
Cu15-CH3+H_009.xyz	107.38894	2.37655	2.87199	2.0173	3.31242	134.77321	94.71032	6	2.51734	3	1.75108	3
Cu15-CH3+H_011.xyz	109.34541	2.46982	2.58499	1.93357	3.62841	123.24819	105.64222	5	2.51984	3	1.73286	3
Cu15-CH3+H_012.xyz	109.56595	2.46795	2.58889	1.96523	3.04748	120.16319	103.62313	6	2.57556	3	1.74155	3
Cu15-CH3+H_013.xyz	109.56595	2.46795	2.58889	1.96523	3.04748	120.16319	103.62313	6	2.57556	3	1.74155	3
Cu15-CH3+H_014.xyz	106.93483	2.27121	2.97033	2.06056	3.61795	137.44212	86.09058	6	2.53803	3	1.72935	3
Cu15-CH3+H_015.xyz	106.40458	1.95395	2.88907	2.07013	3.61316	126.4029	68.15974	5	2.49893	3	1.74825	3
Cu15-CH3+H_023.xyz	109.33767	2.47128	2.58521	1.93334	3.63001	123.28601	105.75965	5	2.52076	3	1.73266	3
Cu15-CH3+H_025.xyz	109.22928	2.47011	2.59065	1.92168	3.5963	125.26035	106.45208	4	2.51091	3	1.7689	3
Cu15-CH3+H_026.xyz	109.22938	2.47008	2.59061	1.92167	3.59626	125.25671	106.45041	4	2.51093	3	1.76893	3
Cu15-CH3+H_028.xyz	107.57637	2.45886	2.79993	1.97611	3.51906	135.6952	102.34493	6	2.56268	3	1.77859	3
Cu15-CH3+H_029.xyz	106.59219	1.94457	2.97523	2.18458	3.49718	123.88478	62.67291	5	2.43994	3	1.75188	3
